gene_id	gene_name
gene32447	FOXM1
gene32448	RHNO1
gene32449	TULP3
gene32451	TEAD4
gene32452	RPL13AP24
gene32454	RPS27P3
gene32453	TSPAN9
gene32455	LOC105369606
gene32456	LOC100128253
gene32458	LINC02417
gene32460	LOC105369607
gene32461	RPS26P44
gene32462	THCAT155
gene32459	PRMT8
gene32463	CRACR2A
gene32465	LOC107984495
gene32467	OTUD4P1
gene32466	PARP11
gene32468	LOC105369609
gene32469	LOC105369608
gene32470	LOC105369611
gene32471	HSPA8P5
gene32473	LOC105369612
gene32474	CCND2-AS1
gene32475	CCND2
gene32477	RPS15P7
gene32476	TIGAR
gene32478	FGF23
gene32479	FGF6
gene32480	C12orf4
gene32481	RAD51AP1
gene32482	DYRK4
gene32485	LOC100420673
gene32484	AKAP3
gene32486	NDUFA9
gene32487	LOC101929549
gene32488	GALNT8
gene32489	LOC105369614
gene32490	KCNA6
gene32491	KCNA1
gene32492	LOC100507560
gene32493	LOC390282
gene32494	KCNA5
gene32496	LOC105369616
gene32497	LINC02443
gene32495	LOC105369617
gene32498	LOC105369618
gene32499	NTF3
gene32501	LOC101901829
gene32502	LOC105369621
gene32500	ANO2
gene32504	SNORA120
gene32503	VWF
gene32507	LOC105369622
gene32506	LOC105369623
gene32508	CD9
gene32510	ATP5MFP5
gene32509	LOC105369625
gene32511	LOC105369624
gene32512	PLEKHG6
gene32513	TNFRSF1A
gene32515	LOC112268088
gene32517	LOC107984500
gene32518	LOC105369626
gene32516	SCNN1A
gene32519	LTBR
gene32520	RPL31P10
gene32521	SRP14P1
gene32522	CD27-AS1
gene32523	CD27
gene32525	VAMP1
gene32524	TAPBPL
gene32526	PKP2P1
gene32527	MRPL51
gene32529	SCARNA10
gene32528	NCAPD2
gene32530	LOC112268089
gene32531	GAPDH
gene32532	IFFO1
gene32533	NOP2
gene32535	SCARNA11
gene32534	CHD4
gene32536	LOC105369631
gene32537	LPAR5
gene32538	ACRBP
gene32539	ING4
gene32540	ZNF384
gene32541	PIANP
gene32543	COPS7A
gene32544	MLF2
gene32545	PTMS
gene32546	LAG3
gene32548	CD4
gene32549	GPR162
gene32550	P3H3
gene32551	GNB3
gene32552	CDCA3
gene32553	USP5
gene32554	TPI1
gene32555	SPSB2
gene32557	RPL13P5
gene32558	DSTNP2
gene32556	LOC105369632
gene32559	LRRC23
gene32560	ENO2
gene32561	ATN1
gene32563	RNU7-1
gene32562	C12orf57
gene32564	PTPN6
gene32565	LOC105369634
gene32567	MIR200C
MIR200C	MIR200C
gene32568	MIR141
MIR141	MIR141
gene32566	MIR200CHG
gene32570	SCARNA12
gene32569	PHB2
gene32571	EMG1
gene32572	LPCAT3
gene32574	LOC100419825
gene32575	C1S
gene32576	C1R
gene32577	C1RL
gene32578	C1RL-AS1
gene32580	RBP5
gene32581	CLSTN3
gene32582	PEX5
gene32584	ACSM4
gene32586	LOC101927882
gene32587	LOC100419928
gene32585	CD163L1
gene32588	CD163
gene32589	GAPDHP31
gene32590	NIFKP3
gene32591	LOC100131676
gene32592	APOBEC1
gene32593	GDF3
gene32594	DPPA3
gene32595	CLEC4C
gene32596	NANOGNB
gene32597	NANOG
gene32600	LOC100130582
gene32598	SLC2A14
gene32601	NANOGP1
gene32602	SLC2A3
gene32604	HSPD1P12
gene32605	LOC100462988
gene32606	FOXJ2
gene32607	C3AR1
gene32608	NECAP1
gene32610	POU5F1P3
gene32609	CLEC4A
gene32612	ZNF705A
gene32613	FAM66C
gene32614	FAM90A1
gene32617	LINC02449
gene32616	FAM86FP
gene32618	LOC112268090
gene32620	LOC107987171
gene32621	SNRPCP7
gene32624	RPS3AP43
gene32623	LOC101927966
gene32622	LINC00937
gene32629	RPL15P17
gene32628	CLEC6A
gene32631	SUPT4H1P2
gene32632	CLEC4D
gene32633	CLEC4E
gene32634	LOC105369645
gene32635	AICDA
gene32636	HADHAP2
gene32637	MFAP5
gene32638	LOC101060064
gene32640	RPSAP51
gene32639	RIMKLB
gene32641	A2ML1
gene32642	PHC1
gene32643	M6PR
gene32645	VDAC2P2
gene32646	LINC00612
gene32647	A2M-AS1
gene32648	A2M
gene32650	BTG1P1
gene32652	TPT1P12
gene32651	PZP
gene32644	KLRG1
gene32653	A2MP1
MIR1244-3	MIR1244-3
gene32655	MIR1244-3
gene32654	PTMAP4
gene32656	LINC00987
gene32657	LOC642846
gene32658	LOC107984489
gene32659	LOC105369649
gene32661	LOC101928030
gene32660	LINC02367
gene32662	LOC728715
gene32663	LOC105369647
gene32664	LOC107987172
gene32665	DDX12P
gene32666	LOC105376678
gene32667	LOC100419520
gene32668	OVOS
gene32670	LOC107987174
gene32669	KLRB1
gene32673	GOT2P3
gene32674	LOC105369728
gene32671	LOC374443
gene32676	NPM1P7
gene32675	CLEC2D
gene32677	LINC02390
gene32678	CLECL1
gene32679	CD69
gene32680	LOC100419929
gene32681	KLRF1
gene32682	CLEC2B
gene32683	KLRF2
gene32684	CLEC2A
gene32685	LINC02470
gene32686	CLEC12A-AS1
gene32687	CLEC12A
gene32688	CLEC1B
gene32689	CLEC12B
gene32691	LOC112268091
gene32690	LOC102724020
gene32693	LOC100421202
gene32692	CLEC9A
gene32694	CLEC1A
gene32698	CLEC7A
gene32697	LOC105369655
gene32699	OLR1
gene32700	TMEM52B
gene32701	LOC107984509
gene32702	GABARAPL1
gene32704	LOC105369656
gene32703	KLRD1
gene32707	KLRK1
gene32705	LOC101928100
gene32708	KLRC4
gene32706	KLRC4-KLRK1
gene32709	KLRC3
gene32710	KLRC2
gene32711	KLRC1
gene32713	EIF2S3B
gene32712	LOC105369657
gene32714	LOC105369658
gene32717	LOC105376675
gene32716	LINC02446
gene32718	KLRA1P
gene32719	MAGOHB
gene32720	STYK1
gene32721	YBX3
gene32722	LOC112268104
gene32724	HSPE1P12
gene32723	LINC02366
gene32725	TAS2R7
gene32726	TAS2R8
gene32727	TAS2R9
gene32729	TAS2R10
gene32728	LOC107984459
gene32732	PRR4
gene32735	TAS2R13
gene32736	PRH2
gene32738	TAS2R14
gene32739	TAS2R15P
gene32740	TAS2R50
gene32741	TAS2R20
gene32742	TAS2R19
gene32743	TAS2R31
gene32744	TAS2R63P
gene32745	TAS2R46
gene32746	TAS2R64P
gene32747	TAS2R43
gene32748	TAS2R30
gene32733	PRH1
gene32737	PRH1-TAS2R14
gene32731	PRH1-PRR4
gene32750	SMIM10L1
gene32752	TAS2R42
gene32754	PRB3
gene32755	LOC107987183
gene32756	PRB4
gene32757	PRB1
gene32758	PRB2
gene32759	LOC440084
gene32762	DDX55P1
gene32764	LINC01252
gene32765	ETV6
gene32766	BCL2L14
gene32767	LOC100506248
MIR1244-4.chr12	MIR1244-4
gene32768	MIR1244-4
gene32770	RPL21P100
gene32771	MORF4L1P2
gene32773	LOC101929053
gene32769	LRP6
gene32775	MANSC1
gene32777	LOH12CR2
gene32778	BORCS5
gene32780	LOC107984485
gene32781	DUSP16
gene32782	RPL19P17
gene32783	LOC107984486
gene32785	RPL21P136
gene32784	CREBL2
gene32786	GPR19
gene32787	CDKN1B
gene32788	LOC105369663
gene32790	LOC107984129
MIR613	MIR613
gene32791	MIR613
gene32792	STX8P1
gene32789	APOLD1
gene32793	DDX47
gene32796	RPS6P1
gene32794	LOC107984492
gene32797	LOC112267864
gene32798	RPL13AP20
gene32799	GPRC5A
MIR614	MIR614
gene32800	MIR614
gene32802	GPRC5D
gene32803	HEBP1
gene32804	HTR7P1
gene32805	RPS26P46
gene32801	GPRC5D-AS1
gene32806	FAM234B
gene32808	LOC105369666
gene32809	LOC105369665
gene32807	GSG1
gene32810	EMP1
gene32811	LINC01559
gene32815	LOC105369668
gene32816	RN7SKP162
gene32817	LOC105369667
gene32814	GRIN2B
gene32821	GNAI2P1
gene32823	ATF7IP
gene32825	LOC101928317
gene32826	RN7SKP134
gene32824	PLBD1
gene32827	PLBD1-AS1
gene32829	GUCY2C
gene32830	LOC105369669
gene32831	HIST4H4
gene32832	H2AFJ
gene32833	WBP11
gene32834	SMCO3
gene32828	C12orf60
gene32835	ART4
gene32836	MGP
gene32837	ERP27
gene32838	ARHGDIB
gene32840	PDE6H
gene32839	LOC105369670
gene32841	LINC01489
gene32842	LOC107984506
gene32844	RERG-AS1
gene32843	RERG
gene32845	METTL8P1
gene32847	LOC105369673
gene32848	RPS2P42
gene32849	LOC105369672
gene32846	PTPRO
gene32850	EPS8
gene32852	MRPS7P2
gene32853	LOC102724146
gene32854	STRAP
gene32856	EGLN3P1
gene32855	DERA
gene32857	LOC101928362
gene32858	SLC15A5
gene32859	MGST1
gene32860	SUPT16HP1
gene32861	LOC107984494
gene32862	GOT2P4
gene32863	LMO3
gene32864	LOC105369677
gene32865	SKP1P2
gene32869	PSMC1P8
gene32870	TIMM17BP1
gene32871	LINC02378
MIR3974	MIR3974
gene32872	MIR3974
gene32873	RERGL
gene32875	NDFIP1P1
gene32878	PSMC1P9
gene32874	PIK3C2G
gene32877	PLCZ1
gene32879	CAPZA3
gene32880	LOC102724227
gene32881	LOC107984527
gene32882	RPL7P6
gene32886	LOC112268092
gene32888	SRSF11P1
gene32884	PLEKHA5
gene32890	PDCD5P1
gene32893	RPL34P25
gene32889	AEBP2
gene32894	LOC101928387
gene32896	LOC105369682
gene32897	TCP1P3
gene32898	LINC02398
gene32899	LOC105369685
gene32900	LINC02468
gene32901	LOC105369686
gene32902	LOC105369687
gene32903	LOC105369688
gene32905	UBE2L2
gene32906	LOC728688
gene32904	PDE3A
gene32907	SLCO1C1
gene32908	SLCO1B3
gene32909	SLCO1B7
gene32910	SLCO1B1
gene32912	IAPP
gene32911	SLCO1A2
gene32914	ELOCP31
gene32913	PYROXD1
gene32915	RECQL
gene32916	GOLT1B
gene32917	SPX
gene32918	GYS2
gene32919	LDHB
gene32921	LOC102724261
gene32922	KCNJ8
gene32920	LOC105369689
gene32923	ABCC9
gene32925	CMAS
gene32926	LOC105369690
gene32927	SULT6B2P
gene32930	LOC112268093
gene32931	LOC105369151
gene32928	ST8SIA1
gene32932	C2CD5
gene32934	LOC105369692
gene32936	LOC112268094
gene32935	LOC105369691
gene32937	ETNK1
gene32938	LOC107984516
gene32940	LOC101928441
gene32942	LOC105369697
gene32943	LOC105369696
MIR920	MIR920
gene32944	MIR920
gene32945	SOX5-AS1
gene32941	SOX5
gene32946	LINC00477
gene32947	KNOP1P1
gene32949	RPL21P102
gene32948	LOC105369698
gene32950	RN7SL38P
gene32952	LOC105369699
gene32953	DAD1P1
gene32951	BCAT1
gene32954	LOC107984475
gene32956	C12orf77
gene32957	LOC645177
gene32959	CENPUP2
gene32958	LRMP
gene32960	CASC1
gene32961	ETFRF1
gene32962	KRAS
gene32963	LOC105369701
gene32964	RNU4-67P
gene32965	RPL39P27
gene32968	LMNTD1
gene32970	TDGP1
MIR4302	MIR4302
gene32971	MIR4302
gene32972	RASSF8-AS1
gene32974	LOC107984501
gene32973	RASSF8
gene32975	BHLHE41
gene32977	LOC101928554
gene32976	SSPN
gene32979	LOC105369704
gene32978	LOC105369705
gene32980	LOC107984482
gene32983	LOC105369706
gene32981	ITPR2
gene32985	INTS13
gene32986	FGFR1OP2
gene32987	TM7SF3
gene32988	MED21
gene32989	C12orf71
gene32990	STK38L
gene32991	ARNTL2
gene32992	ARNTL2-AS1
gene32994	RARSP1
gene32993	SMCO2
gene32996	LOC100506578
gene32995	PPFIBP1
gene32998	REP15
gene32997	LOC107984461
gene33000	MRPS35
gene33001	MANSC4
gene33002	KLHL42
gene33004	LOC105369709
gene33005	PTHLH
gene33006	LOC105369710
gene33007	LOC107984462
gene33009	LOC729291
gene33012	RNA5SP355
gene33010	CCDC91
gene33013	RPL29P27
gene33014	LOC101928705
gene33015	LOC105369711
gene33016	LOC101928735
gene33018	LOC100506606
gene33017	FAR2
gene33019	ERGIC2
gene33020	OVCH1-AS1
gene33021	OVCH1
gene33023	LOC105369714
gene33024	RPL21P99
gene33022	TMTC1
gene33026	LOC105369716
gene33025	LOC105369715
gene33027	LINC02386
gene33029	LOC105369718
gene33031	LOC105369719
gene33032	LOC105369720
gene33033	IPO8
gene33034	CAPRIN2
gene33035	LOC645485
gene33036	LINC00941
gene33037	LOC107984476
gene33038	TSPAN11
gene33039	DDX11-AS1
gene33040	DDX11
gene33042	LOC101060058
gene33041	OVOS2
gene33043	LOC107987168
gene33051	FLJ13224
gene33050	SINHCAF
gene33052	LINC02387
gene33056	MRPL30P2
gene33053	DENND5B
gene33057	DENND5B-AS1
gene33061	ETFBKMT
gene33063	STMN1P1
gene33064	LOC105369722
gene33062	AMN1
gene33066	DSPA2D
gene33065	LOC105369724
gene33067	LOC107984470
gene33068	H3F3C
gene33069	LOC107984532
gene33071	LINC02422
gene33073	RPL12P32
gene33074	LOC100132543
gene33075	LOC105369725
gene33076	KIAA1551
gene33077	LOC102724618
gene33078	LOC107984473
gene33079	BICD1
gene33081	FGD4
gene33085	LOC100420981
gene33083	DNM1L
gene33084	YARS2
gene33087	RPL35AP27
gene33086	PKP2
gene33088	ASS1P14
gene33089	SYT10
gene33090	ST13P9
gene33092	LOC105369726
gene33094	ALG10
gene33098	AK6P1
gene33100	AK6P2
gene33102	LOC107984469
gene33105	TUBB8P5
gene33107	NF1P12
gene33108	ALG10B
gene33109	CPNE8
gene33110	LOC107984504
gene33112	LOC107984484
gene33113	LINC02406
gene33115	LOC101927019
gene33114	KIF21A
gene33116	LOC390306
gene33117	ABCD2
gene33118	C12orf40
gene33120	RPL30P13
gene33121	LOC112268095
gene33119	SLC2A13
gene33122	LINC02555
gene33123	LINC02471
gene33124	LOC107984474
gene33125	LOC105369735
gene33126	LRRK2
gene33127	LOC105369736
gene33128	MUC19
gene33132	LOC100420117
gene33133	LOC107984496
gene33131	CNTN1
gene33135	LOC107984499
gene33136	LOC107984498
gene33134	PDZRN4
gene33140	LINC02400
gene33142	LOC105378247
gene33143	LOC101929308
gene33144	GXYLT1
gene33145	YAF2
gene33146	LOC727884
MIR7851	MIR7851
gene33148	MIR7851
gene33147	ZCRB1
gene33151	LOC100132797
gene33149	PPHLN1
gene33152	PRICKLE1
gene33154	LOC390308
gene33153	LINC02402
gene33156	RPS27P21
gene33155	LINC02451
gene33157	LINC02450
gene33160	LINC02461
gene33161	ADAMTS20
gene33162	RPL21P101
gene33163	LOC400026
gene33165	PUS7L
gene33166	IRAK4
gene33167	TWF1
gene33169	ZNF75BP
gene33170	LOC100294713
gene33168	TMEM117
gene33171	NELL2
gene33173	LOC105369742
gene33172	DBX2
gene33174	RACGAP1P
gene33175	LOC100533757
gene33177	PLEKHA8P1
gene33179	ANO6
gene33180	LOC105369743
gene33182	LOC105369744
gene33183	LINC00938
gene33185	LOC105369745
gene33184	ARID2
gene33188	SCAF11
gene33190	SLC38A1
gene33191	LOC105378248
gene33192	SLC38A2
gene33193	LOC102723757
gene33194	LOC100288798
gene33197	SLC38A4
gene33198	LOC107984466
gene33199	AMIGO2
gene33201	LOC643058
MIR4698	MIR4698
gene33202	MIR4698
gene33203	PCED1B-AS1
gene33200	PCED1B
gene33204	LOC105369746
gene33205	LOC105369747
MIR4494	MIR4494
gene33208	MIR4494
gene33207	LINC02416
gene33209	LINC02156
gene33212	RPAP3
gene33214	ENDOU
gene33213	LOC105369748
gene33215	RAPGEF3
gene33216	SLC48A1
gene33217	HDAC7
gene33218	LINC02354
gene33219	VDR
gene33220	TMEM106C
gene33222	LOC105369752
gene33221	COL2A1
gene33223	LOC105369750
gene33227	LOC101927180
gene33224	SENP1
gene33229	MIR6505
MIR6505	MIR6505
gene33228	PFKM
gene33230	ASB8
gene33231	LOC100421855
gene33232	PHBP18
gene33233	LOC100533659
gene33234	CCDC184
gene33236	OR10AD1
gene33235	LOC102725258
gene33237	LOC105369753
gene33238	H1FNT
gene33239	ZNF641
gene33246	ANP32D
gene33247	RPS10P20
gene33243	C12orf54
gene33248	OR8S1
gene33250	LALBA
MIR1291	MIR1291
gene33254	MIR1291
gene33253	SNORA2C
gene33255	SNORA2A
gene33256	SNORA2B
gene33252	KANSL2
gene33257	CCNT1
gene33258	TEX49
gene33260	MIR4701
MIR4701	MIR4701
gene33259	ADCY6
gene33261	LOC100506125
gene33263	LOC101927241
gene33264	CACNB3
gene33265	DDX23
gene33266	LOC105369755
gene33267	RND1
gene33269	RPL32P27
gene33270	CCDC65
gene33271	FKBP11
gene33272	ARF3
gene33273	WNT10B
gene33275	WNT1
gene33276	LOC105369757
gene33277	LOC105369756
gene33278	DDN
gene33280	PRKAG1
gene33279	DDN-AS1
gene33281	KMT2D
gene33282	RHEBL1
gene33283	DHH
gene33284	LOC105369759
gene33285	LMBR1L
gene33286	TUBA1B
gene33287	LOC105369760
gene33288	TUBA1A
gene33289	TUBA1C
gene33291	PRPH
gene33290	LOC101927267
gene33292	TROAP
gene33293	C1QL4
gene33294	DNAJC22
gene33296	LOC100335030
gene33295	SPATS2
gene33298	LOC105369761
gene33297	KCNH3
gene33299	MCRS1
gene33302	POLR2KP1
gene33303	LOC100422296
gene33300	FAM186B
gene33304	HIGD1AP9
gene33305	PRPF40B
gene33306	FMNL3
gene33308	TMBIM6
gene33309	LSM6P2
gene33310	NCKAP5L
gene33312	BCDIN3D-AS1
gene33313	BCDIN3D
gene33314	RPL35AP28
gene33315	FAIM2
gene33316	LINC02396
gene33317	LINC02395
gene33318	LOC105369763
gene33319	AQP2
gene33320	LOC101927318
gene33321	AQP5
gene33322	LOC105369764
gene33323	AQP6
gene33324	LOC102723963
gene33325	RACGAP1
gene33326	ASIC1
gene33327	SMARCD1
gene33328	GPD1
gene33329	COX14
gene33330	CERS5
MIR1293	MIR1293
gene33332	MIR1293
gene33331	LIMA1
gene33334	LOC107984505
gene33337	RPL26P33
gene33336	FAM186A
gene33339	SNORD133
gene33338	LARP4
gene33342	RNU6-238P
gene33340	DIP2B
gene33343	ATF1
gene33345	TMPRSS12
gene33346	METTL7A
gene33347	HIGD1C
gene33348	SLC11A2
gene33352	LETMD1
gene33353	CSRNP2
gene33356	PHBP19
gene33354	TFCP2
gene33358	POU6F1
gene33359	DAZAP2
gene33360	SMAGP
gene33361	LOC102723983
gene33363	LOC105369767
gene33362	BIN2
gene33364	CELA1
gene33365	GALNT6
gene33367	LOC107984508
gene33368	LOC105369768
gene33366	SLC4A8
gene33370	HNRNPA3P10
gene33369	SCN8A
gene33371	FIGNL2
gene33372	LOC105369971
gene33373	ANKRD33
gene33374	LOC102724178
gene33375	ACVRL1
gene33376	ACVR1B
gene33378	GRASP-AS1
gene33379	GRASP
gene33381	LOC107984510
gene33380	NR4A1
gene33382	ATG101
gene33384	LOC112268096
gene33383	OR7E47P
gene33385	LOC105369771
gene33386	KRT80
gene33387	C12orf80
gene33388	LINC00592
gene33389	METTL7AP1
gene33391	KRT7-AS
gene33390	KRT7
gene33392	KRT87P
gene33395	KRT81
gene33394	KRT86
gene33396	KRT83
gene33397	KRT89P
gene33398	KRT85
gene33399	KRT84
gene33400	KRT82
gene33402	KRT75
gene33403	KRT6B
gene33404	KRT6C
gene33405	KRT6A
gene33406	KRT5
gene33407	KRT71
gene33408	KRT74
gene33409	KRT72
gene33411	KRT73-AS1
gene33410	KRT73
gene33412	LOC105369772
gene33414	KRT2
gene33415	KRT1
gene33416	KRT77
gene33418	LOC400036
gene33420	BTBD10P1
gene33422	ARL2BPP2
gene33423	KRT76
gene33424	KRT3
gene33425	KRT4
gene33426	KRT79
gene33427	KRT78
gene33428	RPL7P41
gene33429	KRT8
gene33430	KRT18
gene33431	EIF4B
gene33432	LOC283335
gene33434	MIR6757
MIR6757	MIR6757
gene33433	TNS2
gene33435	SPRYD3
gene33436	IGFBP6
gene33437	SOAT2
gene33439	RNU6-333P
gene33440	HIGD1AP1
gene33441	EIF4A1P4
gene33442	CSAD
gene33443	ZNF740
gene33444	ITGB7
gene33445	RARG
gene33446	MFSD5
gene33447	ESPL1
gene33448	PFDN5
gene33449	LOC112268097
gene33450	C12orf10
gene33451	AAAS
gene33452	SP7
gene33453	SP1
gene33454	AMHR2
gene33455	PRR13
gene33457	PCBP2-OT1
gene33456	PCBP2
gene33458	MAP3K12
gene33459	TARBP2
gene33460	NPFF
gene33462	LOC100652999
gene33461	ATF7
gene33464	RPL31P51
gene33465	ATP5MC2
gene33466	CALCOCO1
gene33467	LOC105369774
gene33468	CISTR
gene33469	LOC105378250
gene33470	LOC107984525
gene33472	HOXC13-AS
gene33473	HOXC13
gene33474	LOC105369775
gene33475	HOXC12
gene33476	HOTAIR
gene33477	HOXC11
gene33478	HOXC-AS3
gene33479	HOXC10
gene33480	MIR196A2
MIR196A2	MIR196A2
gene33481	HOXC-AS2
gene33482	HOXC-AS1
gene33483	HOXC9
gene33484	LOC107984512
gene33485	HOXC8
gene33488	HOXC6
gene33489	MIR615
MIR615	MIR615
gene33487	HOXC5
gene33486	HOXC4
gene33491	LOC100240735
gene33492	LOC100240734
gene33490	FLJ12825
gene33494	LINC02381
gene33495	SMUG1-AS1
gene33496	LOC102724030
gene33493	SMUG1
gene33497	LOC105369777
MIR3198-2	MIR3198-2
gene33499	MIR3198-2
gene33498	CBX5
gene33501	HNRNPA1
gene33502	NFE2
gene33505	MIR148B
MIR148B	MIR148B
gene33504	COPZ1
gene33508	GPR84
gene33509	ZNF385A
gene33510	ITGA5
gene33507	LOC102724050
gene33511	GTSF1
gene33512	NCKAP1L
gene33513	PDE1B
gene33514	PPP1R1A
gene33515	GLYCAM1
gene33516	LACRT
gene33517	DCD
gene33518	VDAC1P5
gene33519	MUCL1
gene33520	LOC105369778
gene33521	TESPA1
gene33522	LOC107984515
gene33523	NEUROD4
gene33524	LOC101927484
gene33526	LOC644383
gene33527	OR9K2
gene33530	OR10A7
gene33531	OR6C74
gene33534	OR6C6
gene33536	OR6C1
gene33537	OR6C3
gene33539	OR6C75
gene33543	OR6C65
gene33544	PHC1P1
gene33545	OR6C76
gene33546	OR6C2
gene33547	OR6C70
gene33548	OR6C68
gene33550	OR6C4
gene33551	OR2AP1
gene33554	OR10P1
gene33556	PSMB3P1
gene33557	METTL7B
gene33558	ITGA7
gene33560	BLOC1S1
gene33561	RDH5
gene33559	BLOC1S1-RDH5
gene33562	CD63
gene33563	LOC105369779
gene33564	GDF11
gene33565	SARNP
gene33566	ORMDL2
gene33567	DNAJC14
gene33568	TMEM198B
gene33569	MMP19
gene33570	OLA1P3
gene33572	GSTP1P1
gene33573	PYM1
gene33574	DGKA
gene33575	PMEL
gene33576	CDK2
gene33578	LOC100131294
gene33577	RAB5B
gene33579	SUOX
gene33581	LOC105369781
gene33580	IKZF4
gene33582	LOC105369780
gene33583	RPS26
gene33584	ERBB3
gene33585	LOC105369782
gene33586	PA2G4
gene33587	RPL41
gene33588	ZC3H10
gene33589	ESYT1
gene33590	LOC107987175
gene33591	MYL6B
gene33592	MYL6
gene33593	SMARCC2
gene33594	TRS-CGA4-1
gene33595	LOC107984468
gene33596	RNF41
gene33597	NABP2
gene33598	SLC39A5
gene33599	ANKRD52
gene33600	COQ10A
gene33601	CS
gene33603	LOC112268098
gene33602	CNPY2
gene33604	PAN2
gene33605	IL23A
gene33606	STAT2
gene33608	APOF
gene33610	LOC100128676
gene33611	TIMELESS
gene33612	MIP
gene33613	SPRYD4
gene33614	GLS2
gene33616	SNORA105C
gene33615	HSPD1P4
gene33617	RBMS2
gene33619	BAZ2A
gene33621	SNORD59B
gene33622	SNORD59A
gene33620	ATP5F1B
gene33623	PTGES3
gene33625	NACA
gene33626	PRIM1
gene33627	HSD17B6
gene33629	SDR9C7
gene33630	LOC100420982
gene33631	RDH16
gene33632	LOC390332
gene33633	GPR182
gene33634	ZBTB39
gene33635	TAC3
gene33636	MYO1A
gene33637	NEMP1
gene33638	NAB2
gene33639	STAT6
gene33641	LRP1-AS
gene33642	MIR1228
MIR1228	MIR1228
gene33640	LRP1
gene33643	NXPH4
gene33644	SHMT2
gene33645	NDUFA4L2
gene33646	STAC3
gene33647	R3HDM2
gene33649	INHBC
gene33650	INHBE
gene33651	GLI1
gene33652	ARHGAP9
gene33654	MIR6758
MIR6758	MIR6758
gene33653	MARS
gene33656	MIR616
MIR616	MIR616
gene33655	DDIT3
gene33657	MBD6
gene33658	DCTN2
gene33659	KIF5A
gene33660	PIP4K2C
gene33661	DTX3
gene33662	ARHGEF25
gene33663	LOC101927583
gene33664	SLC26A10
gene33665	B4GALNT1
gene33667	OS9
gene33669	AGAP2-AS1
gene33668	AGAP2
gene33670	TSPAN31
gene33672	MIR6759
MIR6759	MIR6759
gene33671	CDK4
gene33673	MARCH9
gene33674	CYP27B1
gene33675	METTL1
gene33676	EEF1AKMT3
gene33677	TSFM
gene33678	AVIL
gene33681	MIR26A2
MIR26A2	MIR26A2
gene33682	LOC105369783
gene33680	CTDSP2
gene33683	LOC283387
gene33684	LOC101927608
gene33685	LOC100506844
gene33686	ATP23
gene33687	LOC100533641
gene33688	RN7SKP65
gene33689	ST13P8
gene33691	LINC02403
gene33690	LOC105369784
gene33692	LOC105369786
gene33693	RPL21P103
gene33694	LOC105369787
gene33695	LOC101060021
gene33696	LOC105369788
gene33697	LOC105369789
gene33698	LINC02388
gene33699	LOC100506869
gene33700	LRIG3
gene33702	RPS6P22
gene33701	LOC105369791
gene33706	LINC02448
gene33708	SLC16A7
gene33709	LOC100996696
gene33710	LOC107984481
gene33711	PGBD3P1
gene33713	LOC105369793
gene33715	RPL21P104
gene33716	KRT8P19
gene33718	KLF17P1
gene33714	FAM19A2
MIR6125	MIR6125
gene33720	MIR6125
gene33721	RNU6-595P
gene33719	USP15
gene33722	MON2
gene33724	LINC01465
gene33725	MIRLET7I
MIRLET7I	MIRLET7I
gene33730	RNU1-83P
gene33729	LOC105369795
gene33726	PPM1H
gene33731	RPL14P1
gene33732	LOC100506911
gene33733	LDHAL6CP
gene33735	AVPR1A
gene33736	HNRNPA1P69
gene33737	LOC105369797
gene33739	S100A11P4
gene33738	DPY19L2
gene33740	LOC100418730
gene33741	RPS27P24
gene33742	RXYLT1
gene33743	RXYLT1-AS1
gene33744	PABPC1P4
gene33748	LOC105369801
gene33749	LOC105369798
gene33745	SRGAP1
gene33750	C12orf66
gene33754	ATP6V1E1P3
gene33753	C12orf56
gene33756	XPOT
gene33758	TBK1
gene33759	LOC105369803
gene33760	LOC107984521
gene33761	LOC105369804
MIR548Z	MIR548Z
gene33764	MIR548Z
gene33763	MIR548C
MIR548C	MIR548C
gene33762	RASSF3
gene33765	GNS
gene33767	RPL7P39
gene33766	TBC1D30
gene33768	LINC02389
gene33771	LOC107984522
gene33769	LINC02231
gene33772	WIF1
gene33774	APOOP3
gene33775	LEMD3
gene33777	KRT18P60
gene33776	MSRB3
gene33779	LOC105369809
gene33780	LOC105369187
gene33781	LOC105369808
gene33782	LINC02454
gene33783	LOC105369806
gene33778	LOC100507065
gene33784	PCNPP3
gene33785	RPSAP52
gene33787	LOC100129940
gene33786	HMGA2
MIR6074	MIR6074
gene33788	MIR6074
gene33789	LINC02425
gene33790	RPL21P18
gene33792	LLPH
gene33793	LLPH-AS1
gene33794	TMBIM4
gene33796	RBMS1P1
gene33797	MIR6502
MIR6502	MIR6502
gene33795	IRAK3
gene33798	PDCL3P7
gene33799	RN7SKP166
gene33800	HELB
gene33802	LOC105369811
gene33803	OSBPL9P4
gene33801	GRIP1
gene33805	LOC102724421
gene33808	CAND1
gene33810	LOC105369813
gene33813	LINC02420
gene33811	LOC105369812
gene33814	LINC02408
gene33815	LINC02442
gene33816	DYRK2
gene33817	LOC105369816
gene33818	LINC02421
gene33819	LOC107984531
gene33821	LINC01479
gene33822	IFNG-AS1
gene33824	HNRNPA1P70
gene33820	LOC107984526
gene33825	LOC100509370
gene33826	IFNG
gene33828	IL26
gene33829	IL22
gene33827	LOC105369818
gene33830	MDM1
